"","hydrophobicity","is_tmh","binds_mhc1","binds_mhc2"
"912",-0.655,0,1,0
"913",-1.41,0,0,0
"914",-1.06,0,0,0
"915",0.855,0,1,0
"916",-0.175,0,0,0
"917",-0.59,0,0,0
"918",-0.985,0,0,0
"919",0.54,0,1,0
"920",0.455,0,0,0
"921",0.27,0,0,0
"922",0.305,0,0,0
"923",0.95,0,1,0
"924",-0.975,0,0,0
"925",0.115,0,0,0
"926",0.365,0,0,0
"927",-0.085,0,0,0
"928",0.575,0,1,0
"929",-0.965,0,0,0
"930",0.15,0,1,0
"931",0.365,0,0,0
"932",2.085,0,1,0
"933",-1.605,0,0,0
"934",0.55,0,0,0
"935",0.345,0,0,0
"936",-0.55,0,0,0
"937",-1.42,0,0,0
"938",-2.015,0,0,0
"939",-0.67,0,0,0
"940",-0.195,0,0,0
"941",-0.05,0,1,0
"942",-0.765,0,0,0
"943",-1.575,0,0,0
"944",1.07,0,1,0
"945",-0.885,0,0,0
"946",-0.29,0,0,0
"947",-0.79,0,0,0
"948",-0.56,0,0,0
"949",-0.69,0,0,0
"950",0.76,0,1,0
"951",-0.83,0,0,0
"952",-1.985,0,0,0
"953",-0.755,0,0,0
"954",1.895,0,0,0
"955",-0.655,0,1,0
"956",-1.835,0,0,0
"957",1.32,0,1,1
"958",0.2,0,1,0
"959",-0.1,0,1,0
"960",0.165,0,0,0
"961",0.16,0,1,0
"962",0.565,0,0,0
"963",-1.335,0,0,0
"964",0.125,0,0,0
"965",-0.165,0,1,0
"966",-1.025,0,0,0
"967",-0.02,0,1,0
"968",0.06,0,1,0
"969",-1.05,0,0,0
"970",0.115,0,0,0
"971",-0.58,0,0,0
"972",0.28,0,0,0
"973",-0.665,0,0,0
"974",0.865,0,0,0
"975",1.71,0,1,0
"976",0.64,0,1,0
"977",-2.145,0,1,0
"978",-1.125,0,0,0
"979",-0.695,0,1,0
"980",-0.67,0,0,0
"981",-0.14,0,1,0
"982",-1.58,0,0,0
"983",0.48,0,1,0
"984",-0.755,0,0,0
"985",-0.635,0,0,0
"986",-1.46,0,0,0
"987",-0.575,0,1,0
"988",-0.755,0,0,0
"989",-0.05,0,1,0
"990",1.055,0,1,0
"991",-0.54,0,0,0
"992",0.405,0,0,0
"993",1.115,0,1,0
"994",-0.205,0,0,0
"995",-0.685,0,0,0
"996",-0.4,0,0,0
"997",-0.04,0,0,0
"998",0.48,0,0,0
"999",-0.275,0,0,0
"1000",-0.705,0,0,0
"1001",2.205,0,1,0
"1002",2.29,0,1,0
"1003",2.955,1,1,0
"1004",1.83,1,1,0
"1005",2.26,0,1,0
"1006",2.6,1,1,0
"1007",2.885,1,1,0
"1008",3.035,1,1,0
"1009",2.455,1,1,0
"1010",1.93,0,1,0
"1011",2.6,1,1,0
